obcina,leto,delez_migrantov,delez_migrantov_moski,delez_migrantov_zenske,delez_lokalnih_delavcev,delez_lokalnih_delavcev_moski,delez_lokalnih_delavcev_zenske
Ajdovščina,2000,33.8,35.6,31.3,66.2,64.4,68.7
Ajdovščina,2001,35.1,37.2,32.2,64.9,62.8,67.8
Ajdovščina,2002,35.4,37.4,32.7,64.6,62.6,67.3
Ajdovščina,2003,36.4,38.2,34.0,63.6,61.8,66.0
Ajdovščina,2004,38.5,39.3,37.3,61.5,60.7,62.7
Ajdovščina,2005,40.6,40.7,40.4,59.4,59.3,59.6
Ajdovščina,2006,41.4,40.5,42.6,58.6,59.5,57.4
Ajdovščina,2007,42.8,41.6,44.4,57.2,58.4,55.6
Ajdovščina,2008,43.8,42.4,46.0,56.2,57.6,54.0
Ajdovščina,2009,44.3,43.0,46.2,55.7,57.0,53.8
Ajdovščina,2010,45.5,43.7,47.8,54.5,56.3,52.2
Ajdovščina,2011,47.4,45.8,49.5,52.6,54.2,50.5
Ajdovščina,2012,50.2,49.7,50.8,49.8,50.3,49.2
Ajdovščina,2013,50.4,50.4,50.3,49.6,49.6,49.7
Ajdovščina,2014,51.4,51.2,51.6,48.6,48.8,48.4
Ajdovščina,2015,51.4,50.8,52.1,48.6,49.2,47.9
Ajdovščina,2016,50.6,50.2,51.2,49.4,49.8,48.8
Ajdovščina,2017,51.4,50.1,53.1,48.6,49.9,46.9
Ajdovščina,2018,50.8,49.0,53.2,49.2,51.0,46.8
Ajdovščina,2019,50.2,47.3,53.9,49.8,52.7,46.1
Ankaran/Ancarano,2015,63.1,81.2,80.2,19.3,18.8,19.8
Ankaran/Ancarano,2016,80.0,80.2,79.8,20.0,19.8,20.2
Ankaran/Ancarano,2017,82.3,84.0,80.4,17.7,16.0,19.6
Ankaran/Ancarano,2018,82.4,83.4,81.5,17.6,16.6,18.5
Ankaran/Ancarano,2019,82.5,84.9,80.1,17.5,15.1,19.9
Apače,2007,78.9,76.2,82.4,21.1,23.8,17.6
Apače,2008,77.7,74.7,81.6,22.3,25.3,18.4
Apače,2009,75.7,73.0,79.1,24.3,27.0,20.9
Apače,2010,74.4,71.4,78.2,25.6,28.6,21.8
Apače,2011,75.6,72.0,80.1,24.4,28.0,19.9
Apače,2012,73.6,71.0,76.7,26.4,29.0,23.3
Apače,2013,73.5,70.9,76.7,26.5,29.1,23.3
Apače,2014,72.2,69.8,75.2,27.8,30.2,24.8
Apače,2015,72.6,70.0,75.7,27.4,30.0,24.3
Apače,2016,72.9,70.5,75.8,27.1,29.5,24.2
Apače,2017,73.0,69.8,76.7,27.0,30.2,23.3
Apače,2018,73.5,71.2,76.0,26.5,28.8,24.0
Apače,2019,75.1,72.7,77.7,24.9,27.3,22.3
Beltinci,2000,74.0,72.6,75.6,26.0,27.4,24.4
Beltinci,2001,74.3,72.9,75.8,25.7,27.1,24.2
Beltinci,2002,74.2,73.0,75.6,25.8,27.0,24.4
Beltinci,2003,74.1,72.2,76.3,25.9,27.8,23.7
Beltinci,2004,75.0,71.5,79.0,25.0,28.5,21.0
Beltinci,2005,76.6,72.9,80.8,23.4,27.1,19.2
Beltinci,2006,76.4,72.3,81.4,23.6,27.7,18.6
Beltinci,2007,76.3,72.5,80.8,23.7,27.5,19.2
Beltinci,2008,76.0,73.3,79.3,24.0,26.7,20.7
Beltinci,2009,73.6,70.9,77.1,26.4,29.1,22.9
Beltinci,2010,76.3,73.8,79.3,23.7,26.2,20.7
Beltinci,2011,77.3,74.8,80.3,22.7,25.2,19.7
Beltinci,2012,77.1,74.8,79.8,22.9,25.2,20.2
Beltinci,2013,76.5,74.3,79.1,23.5,25.7,20.9
Beltinci,2014,76.0,74.9,77.4,24.0,25.1,22.6
Beltinci,2015,76.9,76.2,77.6,23.1,23.8,22.4
Beltinci,2016,77.7,77.1,78.3,22.3,22.9,21.7
Beltinci,2017,79.5,78.6,80.4,20.5,21.4,19.6
Beltinci,2018,79.2,77.9,80.6,20.8,22.1,19.4
Beltinci,2019,79.4,78.3,80.6,20.6,21.7,19.4
Benedikt,2000,84.1,80.2,88.8,15.9,19.8,11.2
Benedikt,2001,84.2,80.1,89.2,15.8,19.9,10.8
Benedikt,2002,84.4,81.6,88.0,15.6,18.4,12.0
Benedikt,2003,86.9,85.8,88.2,13.1,14.2,11.8
Benedikt,2004,85.6,84.0,87.6,14.4,16.0,12.4
Benedikt,2005,85.5,85.6,85.3,14.5,14.4,14.7
Benedikt,2006,85.3,84.5,86.4,14.7,15.5,13.6
Benedikt,2007,85.7,85.1,86.5,14.3,14.9,13.5
Benedikt,2008,85.0,84.9,85.1,15.0,15.1,14.9
Benedikt,2009,84.2,85.0,83.1,15.8,15.0,16.9
Benedikt,2010,83.4,82.9,84.0,16.6,17.1,16.0
Benedikt,2011,84.2,83.2,85.5,15.8,16.8,14.5
Benedikt,2012,83.2,82.7,83.8,16.8,17.3,16.2
Benedikt,2013,82.6,81.4,83.9,17.4,18.6,16.1
Benedikt,2014,81.0,79.5,82.9,19.0,20.5,17.1
Benedikt,2015,80.9,78.9,83.3,19.1,21.1,16.7
Benedikt,2016,81.1,80.2,82.1,18.9,19.8,17.9
Benedikt,2017,81.9,80.3,83.7,18.1,19.7,16.3
Benedikt,2018,82.2,80.7,83.9,17.8,19.3,16.1
Benedikt,2019,81.3,80.3,82.4,18.7,19.7,17.6
Bistrica ob Sotli,2000,60.6,66.4,54.0,39.4,33.6,46.0
Bistrica ob Sotli,2001,62.4,68.3,55.5,37.6,31.7,44.5
Bistrica ob Sotli,2002,59.7,67.2,52.1,40.3,32.8,47.9
Bistrica ob Sotli,2003,59.3,66.8,50.8,40.7,33.2,49.2
Bistrica ob Sotli,2004,61.6,69.8,51.7,38.4,30.2,48.3
Bistrica ob Sotli,2005,60.6,70.0,49.1,39.4,30.0,50.9
Bistrica ob Sotli,2006,77.4,78.0,76.7,22.6,22.0,23.3
Bistrica ob Sotli,2007,78.9,78.9,78.9,21.1,21.1,21.1
Bistrica ob Sotli,2008,78.2,77.3,79.3,21.8,22.7,20.7
Bistrica ob Sotli,2009,69.5,67.7,71.7,30.5,32.3,28.3
Bistrica ob Sotli,2010,68.1,66.1,70.5,31.9,33.9,29.5
Bistrica ob Sotli,2011,70.2,70.2,70.1,29.8,29.8,29.9
Bistrica ob Sotli,2012,71.0,69.1,73.3,29.0,30.9,26.7
Bistrica ob Sotli,2013,68.1,66.8,69.7,31.9,33.2,30.3
Bistrica ob Sotli,2014,70.1,70.4,69.7,29.9,29.6,30.3
Bistrica ob Sotli,2015,70.1,71.1,69.0,29.9,28.9,31.0
Bistrica ob Sotli,2016,70.0,70.8,69.2,30.0,29.2,30.8
Bistrica ob Sotli,2017,73.3,74.9,71.5,26.7,25.1,28.5
Bistrica ob Sotli,2018,73.0,72.4,73.7,27.0,27.6,26.3
Bistrica ob Sotli,2019,74.0,72.2,76.0,26.0,27.8,24.0
Bled,2000,56.0,54.5,57.7,44.0,45.5,42.3
Bled,2001,55.2,53.6,57.1,44.8,46.4,42.9
Bled,2002,55.3,54.2,56.7,44.7,45.8,43.3
Bled,2003,56.2,54.9,57.6,43.8,45.1,42.4
Bled,2004,56.3,54.3,58.6,43.7,45.7,41.4
Bled,2005,58.2,56.8,59.9,41.8,43.2,40.1
Bled,2006,58.8,57.4,60.5,41.2,42.6,39.5
Bled,2007,61.0,59.5,62.9,39.0,40.5,37.1
Bled,2008,61.0,58.6,63.9,39.0,41.4,36.1
Bled,2009,61.2,58.6,64.1,38.8,41.4,35.9
Bled,2010,61.5,58.2,65.4,38.5,41.8,34.6
Bled,2011,62.8,59.8,66.2,37.2,40.2,33.8
Bled,2012,62.6,59.1,66.5,37.4,40.9,33.5
Bled,2013,63.0,60.0,66.3,37.0,40.0,33.7
Bled,2014,63.2,59.9,66.7,36.8,40.1,33.3
Bled,2015,62.4,59.4,65.7,37.6,40.6,34.3
Bled,2016,62.8,61.0,64.8,37.2,39.0,35.2
Bled,2017,62.7,61.2,64.5,37.3,38.8,35.5
Bled,2018,63.0,61.4,64.8,37.0,38.6,35.2
Bled,2019,63.2,62.3,64.2,36.8,37.7,35.8
Bloke,2000,65.7,57.5,76.7,34.3,42.5,23.3
Bloke,2001,65.0,56.3,77.2,35.0,43.7,22.8
Bloke,2002,64.1,54.3,77.3,35.9,45.7,22.7
Bloke,2003,64.4,55.2,76.5,35.6,44.8,23.5
Bloke,2004,63.4,53.6,77.3,36.6,46.4,22.7
Bloke,2005,61.8,51.9,76.3,38.2,48.1,23.8
Bloke,2006,60.0,49.6,76.6,40.0,50.4,23.4
Bloke,2007,56.9,46.0,74.7,43.1,54.0,25.3
Bloke,2008,58.0,47.6,74.4,42.0,52.4,25.6
Bloke,2009,62.1,51.2,77.2,37.9,48.8,22.8
Bloke,2010,62.7,52.1,77.1,37.3,47.9,22.9
Bloke,2011,64.7,55.5,77.3,35.3,44.5,22.7
Bloke,2012,68.8,61.4,78.3,31.2,38.6,21.7
Bloke,2013,78.6,75.3,82.8,21.4,24.7,17.2
Bloke,2014,78.1,75.2,81.8,21.9,24.8,18.2
Bloke,2015,78.9,76.5,82.1,21.1,23.5,17.9
Bloke,2016,78.6,76.2,81.6,21.4,23.8,18.4
Bloke,2017,80.5,78.0,83.8,19.5,22.0,16.2
Bloke,2018,81.5,79.4,84.6,18.5,20.6,15.4
Bloke,2019,82.0,79.7,85.1,18.0,20.3,14.9
Bohinj,2000,43.4,42.4,44.7,56.6,57.6,55.3
Bohinj,2001,44.4,43.3,45.8,55.6,56.7,54.2
Bohinj,2002,44.6,43.7,45.8,55.4,56.3,54.2
Bohinj,2003,45.8,45.0,46.8,54.2,55.0,53.2
Bohinj,2004,46.2,45.7,46.8,53.8,54.3,53.2
Bohinj,2005,48.0,48.1,47.8,52.0,51.9,52.2
Bohinj,2006,49.8,50.0,49.7,50.2,50.0,50.3
Bohinj,2007,51.1,50.8,51.4,48.9,49.2,48.6
Bohinj,2008,50.4,50.2,50.7,49.6,49.8,49.3
Bohinj,2009,48.8,49.9,47.4,51.2,50.1,52.6
Bohinj,2010,49.2,50.3,47.9,50.8,49.7,52.1
Bohinj,2011,50.5,51.0,49.8,49.5,49.0,50.2
Bohinj,2012,52.2,53.3,50.8,47.8,46.7,49.2
Bohinj,2013,50.2,51.1,49.0,49.8,48.9,51.0
Bohinj,2014,50.0,51.2,48.5,50.0,48.8,51.5
Bohinj,2015,49.8,50.8,48.6,50.2,49.2,51.4
Bohinj,2016,48.9,48.8,48.9,51.1,51.2,51.1
Bohinj,2017,48.3,49.0,47.5,51.7,51.0,52.5
Bohinj,2018,47.5,47.2,47.8,52.5,52.8,52.2
Bohinj,2019,47.8,48.2,47.3,52.2,51.8,52.7
Borovnica,2000,82.0,81.4,82.8,18.0,18.6,17.2
Borovnica,2001,82.5,82.0,83.0,17.5,18.0,17.0
Borovnica,2002,82.6,81.2,84.3,17.4,18.8,15.7
Borovnica,2003,82.3,81.9,82.8,17.7,18.1,17.2
Borovnica,2004,83.2,82.3,84.4,16.8,17.7,15.6
Borovnica,2005,83.3,82.2,84.7,16.7,17.8,15.3
Borovnica,2006,83.5,82.6,84.5,16.5,17.4,15.5
Borovnica,2007,84.8,83.8,86.1,15.2,16.2,13.9
Borovnica,2008,81.2,80.2,82.5,18.8,19.8,17.5
Borovnica,2009,79.6,77.2,82.7,20.4,22.8,17.3
Borovnica,2010,80.1,77.5,83.4,19.9,22.5,16.6
Borovnica,2011,82.3,80.2,84.8,17.7,19.8,15.2
Borovnica,2012,81.6,78.7,85.1,18.4,21.3,14.9
Borovnica,2013,84.5,82.3,87.2,15.5,17.7,12.8
Borovnica,2014,84.2,81.9,86.7,15.8,18.1,13.3
Borovnica,2015,83.8,81.4,86.6,16.2,18.6,13.4
Borovnica,2016,84.5,82.0,87.3,15.5,18.0,12.7
Borovnica,2017,84.7,82.1,87.6,15.3,17.9,12.4
Borovnica,2018,83.9,80.4,87.9,16.1,19.6,12.1
Borovnica,2019,83.8,79.4,88.7,16.2,20.6,11.3
Bovec,2000,34.7,40.1,27.4,65.3,59.9,72.6
Bovec,2001,34.5,40.3,26.4,65.5,59.7,73.6
Bovec,2002,31.8,37.3,24.1,68.2,62.7,75.9
Bovec,2003,32.1,36.4,26.4,67.9,63.6,73.6
Bovec,2004,32.1,35.4,27.8,67.9,64.6,72.2
Bovec,2005,34.3,37.1,30.6,65.7,62.9,69.4
Bovec,2006,35.7,37.6,33.1,64.3,62.4,66.9
Bovec,2007,35.0,38.4,30.4,65.0,61.6,69.6
Bovec,2008,36.1,39.2,31.9,63.9,60.8,68.1
Bovec,2009,35.1,37.2,32.2,64.9,62.8,67.8
Bovec,2010,38.7,40.8,35.8,61.3,59.2,64.2
Bovec,2011,33.9,35.1,32.5,66.1,64.9,67.5
Bovec,2012,31.8,33.2,30.0,68.2,66.8,70.0
Bovec,2013,34.4,35.3,33.3,65.6,64.7,66.7
Bovec,2014,33.7,35.8,31.1,66.3,64.2,68.9
Bovec,2015,32.7,33.7,31.4,67.3,66.3,68.6
Bovec,2016,31.2,32.2,30.1,68.8,67.8,69.9
Bovec,2017,31.2,32.3,30.1,68.8,67.7,69.9
Bovec,2018,31.5,31.3,31.8,68.5,68.7,68.2
Bovec,2019,32.8,33.1,32.4,67.2,66.9,67.6
Braslovče,2000,83.9,81.5,86.7,16.1,18.5,13.3
Braslovče,2001,83.8,81.0,87.2,16.2,19.0,12.8
Braslovče,2002,83.6,80.5,87.2,16.4,19.5,12.8
Braslovče,2003,83.2,80.3,86.7,16.8,19.7,13.3
Braslovče,2004,82.9,80.6,85.7,17.1,19.4,14.3
Braslovče,2005,83.7,81.0,86.9,16.3,19.0,13.1
Braslovče,2006,82.4,78.9,86.5,17.6,21.1,13.5
Braslovče,2007,82.3,78.3,87.2,17.7,21.7,12.8
Braslovče,2008,82.2,78.3,86.7,17.8,21.7,13.3
Braslovče,2009,82.1,78.5,86.4,17.9,21.5,13.6
Braslovče,2010,82.2,78.6,86.6,17.8,21.4,13.4
Braslovče,2011,82.4,78.9,86.5,17.6,21.1,13.5
Braslovče,2012,82.4,78.4,86.9,17.6,21.6,13.1
Braslovče,2013,81.5,77.5,86.1,18.5,22.5,13.9
Braslovče,2014,81.2,77.3,85.6,18.8,22.7,14.4
Braslovče,2015,81.5,78.0,85.3,18.5,22.0,14.7
Braslovče,2016,81.9,78.1,86.1,18.1,21.9,13.9
Braslovče,2017,82.2,78.4,86.6,17.8,21.6,13.4
Braslovče,2018,82.5,78.5,87.1,17.5,21.5,12.9
Braslovče,2019,82.5,79.0,86.6,17.5,21.0,13.4
Brda,2000,75.2,73.7,76.7,24.8,26.3,23.3
Brda,2001,75.9,74.9,77.0,24.1,25.1,23.0
Brda,2002,75.6,74.7,76.6,24.4,25.3,23.4
Brda,2003,75.1,74.6,75.7,24.9,25.4,24.3
Brda,2004,76.0,75.8,76.2,24.0,24.2,23.8
Brda,2005,77.1,76.9,77.3,22.9,23.1,22.7
Brda,2006,77.9,77.9,78.0,22.1,22.1,22.0
Brda,2007,77.2,76.8,77.6,22.8,23.2,22.4
Brda,2008,76.1,75.2,77.0,23.9,24.8,23.0
Brda,2009,73.0,70.8,75.2,27.0,29.2,24.8
Brda,2010,72.8,70.6,75.0,27.2,29.4,25.0
Brda,2011,72.8,70.4,75.1,27.2,29.6,24.9
Brda,2012,73.5,71.3,75.7,26.5,28.7,24.3
Brda,2013,72.3,70.3,74.4,27.7,29.7,25.6
Brda,2014,70.8,69.3,72.4,29.2,30.7,27.6
Brda,2015,71.2,69.8,72.7,28.8,30.2,27.3
Brda,2016,71.0,69.1,73.0,29.0,30.9,27.0
Brda,2017,72.0,69.3,74.8,28.0,30.7,25.2
Brda,2018,71.3,68.4,74.4,28.7,31.6,25.6
Brda,2019,70.9,68.6,73.4,29.1,31.4,26.6
Brezovica,2000,78.5,75.6,82.0,21.5,24.4,18.0
Brezovica,2001,78.6,75.6,82.1,21.4,24.4,17.9
Brezovica,2002,78.4,74.7,82.7,21.6,25.3,17.3
Brezovica,2003,77.4,74.8,80.5,22.6,25.2,19.5
Brezovica,2004,78.0,75.0,81.5,22.0,25.0,18.5
Brezovica,2005,78.5,76.3,81.2,21.5,23.7,18.8
Brezovica,2006,78.4,75.8,81.4,21.6,24.2,18.6
Brezovica,2007,77.9,74.7,81.8,22.1,25.3,18.2
Brezovica,2008,78.1,74.9,82.0,21.9,25.1,18.0
Brezovica,2009,77.5,74.1,81.5,22.5,25.9,18.5
Brezovica,2010,77.8,74.8,81.4,22.2,25.2,18.6
Brezovica,2011,78.1,75.2,81.4,21.9,24.8,18.6
Brezovica,2012,78.3,75.4,81.5,21.7,24.6,18.5
Brezovica,2013,76.9,74.2,80.0,23.1,25.8,20.0
Brezovica,2014,76.6,73.4,80.2,23.4,26.6,19.8
Brezovica,2015,76.2,73.3,79.4,23.8,26.7,20.6
Brezovica,2016,76.5,74.2,79.3,23.5,25.8,20.7
Brezovica,2017,77.5,75.2,80.2,22.5,24.8,19.8
Brezovica,2018,76.9,74.4,79.8,23.1,25.6,20.2
Brezovica,2019,76.9,74.2,79.9,23.1,25.8,20.1
Brežice,2000,33.8,38.3,28.5,66.2,61.7,71.5
Brežice,2001,34.2,39.3,28.2,65.8,60.7,71.8
Brežice,2002,34.5,40.2,27.4,65.5,59.8,72.6
Brežice,2003,36.9,42.7,29.2,63.1,57.3,70.8
Brežice,2004,38.4,43.8,31.3,61.6,56.2,68.7
Brežice,2005,38.2,43.2,31.6,61.8,56.8,68.4
Brežice,2006,38.5,43.3,32.1,61.5,56.7,67.9
Brežice,2007,40.2,44.1,35.1,59.8,55.9,64.9
Brežice,2008,40.8,44.4,36.2,59.2,55.6,63.8
Brežice,2009,41.4,45.2,36.5,58.6,54.8,63.5
Brežice,2010,41.9,45.8,37.1,58.1,54.2,62.9
Brežice,2011,42.9,46.6,38.4,57.1,53.4,61.6
Brežice,2012,42.9,46.6,38.3,57.1,53.4,61.7
Brežice,2013,43.8,47.5,39.1,56.2,52.5,60.9
Brežice,2014,45.0,49.0,40.1,55.0,51.0,59.9
Brežice,2015,46.0,50.0,40.9,54.0,50.0,59.1
Brežice,2016,47.4,51.4,42.5,52.6,48.6,57.5
Brežice,2017,48.2,51.8,43.7,51.8,48.2,56.3
Brežice,2018,49.6,53.2,45.2,50.4,46.8,54.8
Brežice,2019,50.4,53.9,46.2,49.6,46.1,53.8
Cankova,2000,75.0,71.4,79.2,25.0,28.6,20.8
Cankova,2001,75.8,73.1,78.8,24.2,26.9,21.2
Cankova,2002,75.2,71.2,79.7,24.8,28.8,20.3
Cankova,2003,76.1,72.8,79.8,23.9,27.2,20.2
Cankova,2004,74.2,70.3,79.1,25.8,29.7,20.9
Cankova,2005,73.9,70.2,78.8,26.1,29.8,21.3
Cankova,2006,73.1,69.1,78.4,26.9,30.9,21.6
Cankova,2007,75.2,71.3,79.7,24.8,28.7,20.3
Cankova,2008,74.9,71.1,79.3,25.1,28.9,20.7
Cankova,2009,73.1,69.4,77.5,26.9,30.6,22.5
Cankova,2010,72.2,68.1,76.9,27.8,31.9,23.1
Cankova,2011,74.7,73.2,76.5,25.3,26.8,23.5
Cankova,2012,72.8,70.5,75.4,27.2,29.5,24.6
Cankova,2013,73.7,73.8,73.5,26.3,26.2,26.5
Cankova,2014,72.1,70.9,73.5,27.9,29.1,26.5
Cankova,2015,72.8,71.3,74.4,27.2,28.7,25.6
Cankova,2016,74.3,74.2,74.5,25.7,25.8,25.5
Cankova,2017,75.8,73.6,78.2,24.2,26.4,21.8
Cankova,2018,74.0,73.3,74.7,26.0,26.7,25.3
Cankova,2019,74.8,72.4,77.4,25.2,27.6,22.6
Celje,2000,23.9,26.2,21.2,76.1,73.8,78.8
Celje,2001,24.8,27.3,22.0,75.2,72.7,78.0
Celje,2002,25.8,28.1,23.1,74.2,71.9,76.9
Celje,2003,27.0,29.3,24.2,73.0,70.7,75.8
Celje,2004,28.0,29.9,25.7,72.0,70.1,74.3
Celje,2005,28.9,31.0,26.4,71.1,69.0,73.6
Celje,2006,31.0,33.3,28.3,69.0,66.7,71.7
Celje,2007,32.0,33.7,29.8,68.0,66.3,70.2
Celje,2008,32.0,33.4,30.2,68.0,66.6,69.8
Celje,2009,32.5,33.4,31.4,67.5,66.6,68.6
Celje,2010,33.8,34.8,32.4,66.2,65.2,67.6
Celje,2011,35.5,37.0,33.6,64.5,63.0,66.4
Celje,2012,37.4,39.7,34.6,62.6,60.3,65.4
Celje,2013,38.2,40.4,35.6,61.8,59.6,64.4
Celje,2014,39.2,41.3,36.7,60.8,58.7,63.3
Celje,2015,39.8,41.7,37.4,60.2,58.3,62.6
Celje,2016,41.0,43.1,38.4,59.0,56.9,61.6
Celje,2017,42.3,44.7,39.1,57.7,55.3,60.9
Celje,2018,43.3,45.8,40.0,56.7,54.2,60.0
Celje,2019,44.2,46.8,40.8,55.8,53.2,59.2
Cerklje na Gorenjskem,2000,76.9,72.4,82.4,23.1,27.6,17.6
Cerklje na Gorenjskem,2001,75.5,71.5,80.2,24.5,28.5,19.8
Cerklje na Gorenjskem,2002,75.0,70.3,80.6,25.0,29.7,19.4
Cerklje na Gorenjskem,2003,74.6,69.9,80.2,25.4,30.1,19.8
Cerklje na Gorenjskem,2004,74.2,69.8,79.5,25.8,30.2,20.5
Cerklje na Gorenjskem,2005,73.9,70.0,78.9,26.1,30.0,21.1
Cerklje na Gorenjskem,2006,74.2,69.8,80.1,25.8,30.2,19.9
Cerklje na Gorenjskem,2007,72.6,68.3,78.1,27.4,31.7,21.9
Cerklje na Gorenjskem,2008,71.7,67.3,77.4,28.3,32.7,22.6
Cerklje na Gorenjskem,2009,71.4,66.5,77.9,28.6,33.5,22.1
Cerklje na Gorenjskem,2010,71.0,66.4,76.9,29.0,33.6,23.1
Cerklje na Gorenjskem,2011,71.4,66.9,76.7,28.6,33.1,23.3
Cerklje na Gorenjskem,2012,71.1,66.8,76.1,28.9,33.2,23.9
Cerklje na Gorenjskem,2013,71.8,66.6,77.7,28.2,33.4,22.3
Cerklje na Gorenjskem,2014,69.9,65.0,75.6,30.1,35.0,24.4
Cerklje na Gorenjskem,2015,69.6,64.9,75.0,30.4,35.1,25.0
Cerklje na Gorenjskem,2016,69.4,64.7,74.9,30.6,35.3,25.1
Cerklje na Gorenjskem,2017,69.0,63.7,75.0,31.0,36.3,25.0
Cerklje na Gorenjskem,2018,69.3,64.0,75.2,30.7,36.0,24.8
Cerklje na Gorenjskem,2019,70.3,65.2,76.2,29.7,34.8,23.8
Cerknica,2000,45.6,48.0,42.8,54.4,52.0,57.2
Cerknica,2001,47.8,50.1,45.0,52.2,49.9,55.0
Cerknica,2002,49.9,51.0,48.6,50.1,49.0,51.4
Cerknica,2003,50.3,51.1,49.3,49.7,48.9,50.7
Cerknica,2004,51.1,52.2,49.8,48.9,47.8,50.2
Cerknica,2005,51.6,52.5,50.5,48.4,47.5,49.5
Cerknica,2006,50.9,52.1,49.4,49.1,47.9,50.6
Cerknica,2007,52.8,54.9,50.0,47.2,45.1,50.0
Cerknica,2008,52.4,54.1,50.1,47.6,45.9,49.9
Cerknica,2009,53.0,54.5,51.1,47.0,45.5,48.9
Cerknica,2010,53.1,54.0,51.9,46.9,46.0,48.1
Cerknica,2011,54.1,54.9,53.2,45.9,45.1,46.8
Cerknica,2012,52.5,52.0,53.2,47.5,48.0,46.8
Cerknica,2013,51.4,50.4,52.6,48.6,49.6,47.4
Cerknica,2014,51.5,49.9,53.5,48.5,50.1,46.5
Cerknica,2015,51.8,50.5,53.5,48.2,49.5,46.5
Cerknica,2016,52.1,51.2,53.2,47.9,48.8,46.8
Cerknica,2017,54.0,54.1,53.9,46.0,45.9,46.1
Cerknica,2018,54.8,54.9,54.6,45.2,45.1,45.4
Cerknica,2019,54.1,54.2,54.0,45.9,45.8,46.0
Cerkno,2000,30.4,34.6,24.9,69.6,65.4,75.1
Cerkno,2001,31.4,35.7,26.0,68.6,64.3,74.0
Cerkno,2002,31.4,35.6,26.0,68.6,64.4,74.0
Cerkno,2003,33.2,37.2,28.0,66.8,62.8,72.0
Cerkno,2004,34.4,38.3,29.3,65.6,61.7,70.7
Cerkno,2005,37.0,40.4,32.6,63.0,59.6,67.4
Cerkno,2006,39.8,42.8,36.0,60.2,57.2,64.0
Cerkno,2007,41.2,43.6,38.1,58.8,56.4,61.9
Cerkno,2008,44.2,46.8,40.9,55.8,53.2,59.1
Cerkno,2009,44.3,46.0,42.0,55.7,54.0,58.0
Cerkno,2010,45.3,46.7,43.5,54.7,53.3,56.5
Cerkno,2011,47.0,47.6,46.0,53.0,52.4,54.0
Cerkno,2012,47.7,48.7,46.5,52.3,51.3,53.5
Cerkno,2013,47.8,49.3,45.8,52.2,50.7,54.2
Cerkno,2014,47.6,48.5,46.3,52.4,51.5,53.7
Cerkno,2015,49.4,51.0,47.4,50.6,49.0,52.6
Cerkno,2016,50.6,52.9,47.7,49.4,47.1,52.3
Cerkno,2017,50.9,53.2,48.2,49.1,46.8,51.8
Cerkno,2018,53.0,53.4,52.4,47.0,46.6,47.6
Cerkno,2019,53.1,52.2,54.1,46.9,47.8,45.9
Cerkvenjak,2000,86.6,87.9,84.8,13.4,12.1,15.2
Cerkvenjak,2001,86.2,87.1,85.1,13.8,12.9,14.9
Cerkvenjak,2002,86.8,87.3,86.1,13.2,12.7,13.9
Cerkvenjak,2003,87.0,87.7,86.1,13.0,12.3,13.9
Cerkvenjak,2004,86.3,87.3,84.9,13.7,12.7,15.1
Cerkvenjak,2005,85.4,86.3,84.0,14.6,13.7,16.0
Cerkvenjak,2006,86.0,87.6,83.8,14.0,12.4,16.2
Cerkvenjak,2007,85.1,85.6,84.3,14.9,14.4,15.7
Cerkvenjak,2008,84.8,84.9,84.6,15.2,15.1,15.4
Cerkvenjak,2009,84.4,84.7,83.8,15.6,15.3,16.2
Cerkvenjak,2010,84.2,83.4,85.3,15.8,16.6,14.7
Cerkvenjak,2011,84.0,84.0,84.1,16.0,16.0,15.9
Cerkvenjak,2012,84.3,83.2,85.7,15.7,16.8,14.3
Cerkvenjak,2013,83.7,82.8,85.1,16.3,17.2,14.9
Cerkvenjak,2014,83.8,83.3,84.6,16.2,16.7,15.4
Cerkvenjak,2015,83.4,82.5,84.6,16.6,17.5,15.4
Cerkvenjak,2016,83.0,83.0,83.0,17.0,17.0,17.0
Cerkvenjak,2017,83.8,82.9,85.0,16.2,17.1,15.0
Cerkvenjak,2018,82.5,82.0,83.3,17.5,18.0,16.7
Cerkvenjak,2019,84.5,84.0,85.2,15.5,16.0,14.8
Cirkulane,2007,85.1,86.3,83.2,14.9,13.7,16.8
Cirkulane,2008,85.5,87.3,82.5,14.5,12.7,17.5
Cirkulane,2009,84.8,87.0,81.3,15.2,13.0,18.7
Cirkulane,2010,85.3,86.5,83.5,14.7,13.5,16.5
Cirkulane,2011,84.4,84.9,83.6,15.6,15.1,16.4
Cirkulane,2012,83.3,84.0,82.3,16.7,16.0,17.7
Cirkulane,2013,83.6,84.6,82.3,16.4,15.4,17.7
Cirkulane,2014,83.4,83.9,82.6,16.6,16.1,17.4
Cirkulane,2015,83.3,83.3,83.4,16.7,16.7,16.6
Cirkulane,2016,84.9,85.8,83.6,15.1,14.2,16.4
Cirkulane,2017,86.6,87.1,85.7,13.4,12.9,14.3
Cirkulane,2018,86.5,87.2,85.3,13.5,12.8,14.7
Cirkulane,2019,84.3,84.4,84.2,15.7,15.6,15.8
Destrnik,2000,88.3,88.4,88.3,11.7,11.6,11.7
Destrnik,2001,87.3,87.7,86.9,12.7,12.3,13.1
Destrnik,2002,87.8,88.0,87.6,12.2,12.0,12.4
Destrnik,2003,88.0,88.4,87.5,12.0,11.6,12.5
