ime,st_prebivalcev,st_migrantov_v_obcino,st_migrantov_iz_obcine,placa_bruto,placa_neto
Medvode,16651,2510.3621000000003,5283.362099999999,1691.47,1102.65
Mengeš,8150,1821.7341999999999,2792.7342000000003,1542.5,1013.56
Metlika,8397,834.7451999999998,1560.7451999999996,1430.83,950.63
Mežica,3559,1093.0621500000002,878.0621500000001,1829.93,1195.89
Miklavž na Dravskem polju,6828,712.4873,2279.4873000000007,1383.05,923.51
Miren - Kostanjevica,4976,702.7649999999999,1584.765,1562.23,1020.76
Mirna,2622,575.27625,940.2762500000001,1526.22,1016.54
Mirna Peč,2987,261.82945,1192.8294500000002,1501.94,994.07
Mislinja,4561,348.48494999999997,1648.4849500000003,1281.0,861.37
Mokronog - Trebelno,3080,377.98799999999994,1103.9880000000003,1537.28,1027.47
Moravske Toplice,5853,788.2638000000002,1714.2637999999997,1351.33,909.69
Moravče,5435,629.6409999999998,2074.6410000000005,1488.38,993.71
Mozirje,4133,562.7821,1269.7820999999997,1517.76,1003.02
Murska Sobota,18742,7683.09905,2084.09905,1676.97,1096.19
Muta,3407,763.3200999999999,870.3864,1615.4,1055.25
Naklo,5402,1828.7925,1813.7924999999998,1638.0,1067.62
Nazarje,2608,1665.15445,614.1544500000001,1625.37,1072.53
Nova Gorica,31932,6468.816799999999,4934.8168,1741.1,1139.95
Novo mesto,37280,12552.552999999998,3719.553,2007.24,1286.19
Odranci,1644,973.212,526.2120000000001,1417.44,961.71
Oplotnica,4130,325.04580000000004,1481.0457999999999,1295.55,874.12
Ormož,11968,1065.7953000000002,2298.7953,1445.8,960.08
Osilnica,366,-3.650199999999998,64.35464999999999,1042.41,714.13
Pesnica,7360,1014.6197,2248.6197,1597.75,1042.71
Piran/Pirano,17692,2424.7832000000008,3278.7832,1526.2,1001.38
Pivka,6176,825.2254,1603.2254000000005,1510.52,996.63
Podlehnik,1790,308.13750000000005,666.1374999999999,1907.51,1236.24
Podvelka,2344,206.84390000000002,630.8439000000001,1530.27,1025.09
Podčetrtek,3434,590.8960999999998,1005.8960999999998,1344.09,888.58
Poljčane,4459,675.481846153846,1233.4818461538462,1323.73,885.29
Polzela,6224,446.0526,1909.0526000000002,1451.66,965.2
Postojna,16363,2108.717200000001,3421.7172000000005,1600.67,1054.26
Prebold,5125,1941.1341499999999,1687.2470999999996,1469.54,977.55
Preddvor,3697,481.3784000000001,1320.3783999999996,1506.8,999.5
Prevalje,6812,880.8964999999998,1936.8965,1589.83,1043.11
Ptuj,23443,7768.755800000001,4538.755800000001,1508.42,992.89
Puconci,5892,706.69605,1675.6960499999996,1693.62,1103.32
Radenci,5107,816.2814000000002,1220.2813999999998,1527.51,1009.86
Radeče,4169,298.8280000000001,1061.8280000000002,1490.86,991.93
Radlje ob Dravi,6183,972.6207999999997,1145.6207999999997,1560.1,1029.07
Radovljica,19053,3801.7882499999996,4680.78825,1590.76,1044.05
Ravne na Koroškem,11315,2573.8992,2128.8992,1757.23,1137.86
Razkrižje,1269,109.012,411.01200000000006,1650.89,1088.55
Rače - Fram,7433,1021.7582,2483.7581999999998,1385.94,919.56
Renče - Vogrsko,4366,673.7873076923076,1392.7873076923076,1499.61,992.46
Rečica ob Savinji,2333,263.2611538461539,793.2611538461537,1240.79,841.25
Ribnica,9513,1380.2984999999999,2072.2985,1623.74,1062.99
Ribnica na Pohorju,1125,48.16160000000002,337.1615999999999,1489.71,979.82
