id,naslov,posredovanje,vrsta,obcina,velikost,cena,leto,sobe
o6273342,SEČA,prodaja,Posest,Grad,786.0,150000.0,,
o6371381,SEČA,prodaja,Posest,Grad,2000.0,90.0,,
o6093362,SEČA,prodaja,Posest,Grad,2037.0,300.0,,
o6165428,SEČA,prodaja,Posest,Grad,2037.0,299.0,,
o6345412,"SEČA, OB JERNEJEVEM KANALU",prodaja,Stanovanje,Grad,53.6,235000.0,2002.0,2.5
o6355643,"SEČA, PORTOROŽ",prodaja,Stanovanje,Grad,60.0,255000.0,2007.0,
o6080632,"SEČA, PRVA VRSTA OB MORJU	",prodaja,Posest,Grad,618.0,350000.0,,
o6366793,SEČOVLJE,prodaja,Stanovanje,Grad,40.0,90000.0,2008.0,1.0
o6329414,SEČOVLJE,prodaja,Hiša,Grad,54.8,298000.0,1986.0,
o6319144,SEČOVLJE,prodaja,Hiša,Grad,81.6,390000.0,1987.0,
o5952886,SEČOVLJE,prodaja,Stanovanje,Grad,126.0,126000.0,1900.0,
o6163339,SEČOVLJE,prodaja,Hiša,Grad,133.5,580000.0,2017.0,
o6163832,SEČOVLJE,prodaja,Hiša,Grad,134.4,580000.0,2017.0,
o6326413,SEČOVLJE,prodaja,Hiša,Grad,165.0,600000.0,1900.0,
o6356742,SEČOVLJE,prodaja,Posest,Grad,600.0,12000.0,,
o6250494,SEČOVLJE,prodaja,Posest,Grad,1000.0,20.0,,
o6365530,SEČOVLJE,prodaja,Posest,Grad,1118.0,20000.0,,
o6299992,SEČOVLJE,prodaja,Posest,Grad,2634.0,180000.0,,
o6276346,SEČOVLJE,prodaja,Posest,Grad,9000.0,700000.0,1850.0,
o6351850,SEČOVLJE,prodaja,Posest,Grad,11516.0,298000.0,1986.0,
o6200749,"SEČOVLJE, BLIŽINA ŠOLE",prodaja,Hiša,Grad,133.5,580000.0,2017.0,
o6198033,"SEČOVLJE, DRAGONJA, BLIŽINA KLAVNICE KRAS",prodaja,Posest,Grad,6936.0,130000.0,,
o6335860,"SEČOVLJE, PARECAG",prodaja,Posest,Grad,6697.0,190000.0,,
o5780568,SEDLAŠEK,prodaja,Hiša,Podlehnik,31.3,35000.0,1931.0,
o6317120,SEDLAŠEK,prodaja,Hiša,Podlehnik,50.0,39900.0,1823.0,
o6321132,SEDLAŠEK,prodaja,Vikend,Podlehnik,62.0,35000.0,1987.0,
o6368167,SEDLAŠEK,prodaja,Vikend,Podlehnik,100.0,35000.0,1823.0,
o6316013,SEDRAŽ,prodaja,Hiša,Laško,121.8,95000.0,1982.0,
o6370399,SEDRAŽ,prodaja,Hiša,Laško,392.0,135000.0,1984.0,
o6304202,SEGET,prodaja,Posest,Grad,475.0,17000.0,,
o6315680,SEGOVCI,prodaja,Stanovanje,Apače,116.6,97000.0,2015.0,3.0
o6353451,SEGOVCI,prodaja,Posest,Apače,2195.0,33.0,,
