zacetek,konec,razdalja,cas
Ajdovščina,Ravne na Koroškem,194680,8759
Ajdovščina,Razkrižje,268103,9997
Ajdovščina,Rače - Fram,201516,7461
Ajdovščina,Renče - Vogrsko,22421,1259
Ajdovščina,Rečica ob Savinji,160252,6321
Ajdovščina,Ribnica,88036,4684
Ajdovščina,Ribnica na Pohorju,251242,10302
Ajdovščina,Rogatec,201697,8251
Ajdovščina,Rogaška Slatina,194584,7903
Ajdovščina,Rogašovci,272614,10579
Ajdovščina,Ruše,217885,8482
Ajdovščina,Selnica ob Dravi,224851,9192
Ajdovščina,Semič,171201,6960
Ajdovščina,Sevnica,161132,6631
Ajdovščina,Sežana,38842,1596
Ajdovščina,Slovenija,139801,5687
Ajdovščina,Slovenj Gradec,183056,7994
Ajdovščina,Slovenska Bistrica,187697,6686
Ajdovščina,Slovenske Konjice,182466,6764
Ajdovščina,Sodražica,78447,4009
Ajdovščina,Solčava,145512,7616
Ajdovščina,Središče ob Dravi,254110,9736
Ajdovščina,Starše,208843,7539
Ajdovščina,Straža,151632,5751
Ajdovščina,Sveta Ana,234846,8559
Ajdovščina,Sveta Trojica v Slov. goricah,231155,8176
Ajdovščina,Sveti Andraž v Slov. goricah,241650,8764
Ajdovščina,Sveti Jurij ob Ščavnici,244431,8642
Ajdovščina,Sveti Jurij v Slov. goricah,227492,8243
Ajdovščina,Sveti Tomaž,242887,9179
Ajdovščina,Tabor,138225,5130
Ajdovščina,Tišina,254195,9336
Ajdovščina,Tolmin,65492,3730
Ajdovščina,Trbovlje,143211,5958
Ajdovščina,Trebnje,126184,4597
Ajdovščina,Trnovska vas,233874,8337
Ajdovščina,Trzin,92601,3601
Ajdovščina,Tržič,122476,4518
Ajdovščina,Turnišče,272170,9662
Ajdovščina,Velenje,157077,6361
Ajdovščina,Velika Polana,275888,9842
Ajdovščina,Velike Lašče,112064,4494
Ajdovščina,Veržej,255382,9083
Ajdovščina,Videm,222390,7803
Ajdovščina,Vipava,6547,504
Ajdovščina,Vitanje,175764,6938
Ajdovščina,Vodice,94565,3516
Ajdovščina,Vojnik,163345,6010
Ajdovščina,Vransko,131167,4892
Ajdovščina,Vrhnika,62967,2438
Ajdovščina,Vuzenica,205128,9276
Ajdovščina,Zagorje ob Savi,137561,5590
Ajdovščina,Zavrč,238483,8900
Ajdovščina,Zreče,177842,6914
Ajdovščina,Črenšovci,274873,9764
Ajdovščina,Črna na Koroškem,185999,8454
